censusGroup2010,long,lat,pop_2010,Density(1000p/sqm),area(sqm),PLx2_Pop,PLx2_Pct,Avgtempreductionnight_w808pm,Green_P,Imp_P,MFor_P
370630018082,-78.81326896,35.95656667,2966,0.196145808,0.581768465,440,20.55114433,0.966031,83.77999878,12.85999966,68.5
370630018091,-78.85169051,35.94771253,2484,0.333770253,0.82908531,1214,39.55685891,0.873087,82.04000092,16.13999939,61.84999847
370630018092,-78.82617191,35.93456517,2664,0.565740585,1.507132918,529,17.78151261,0.690678,77.47000122,21.25,49.56999969
370630020071,-78.932641,35.96310444,1732,0.984914096,1.705871214,148,7.744636316,0.98227,80.01000214,19.78000069,69.33999634
370630020072,-78.94024278,35.94098942,2306,0.693374515,1.598921631,201,9.288354898,0.921427,79.08000183,20.15999985,65.02999878
370630020073,-78.942257,35.95501794,816,0.883390313,0.720846496,276,31.08108108,0.978127,78.86000061,20.97999954,69.62000275
370630020081,-78.95137509,35.94855411,960,0.437002653,0.419522547,219,21.34502924,0.950185,83.62999725,15.57999992,67.23999786
370630020082,-78.95722904,35.93721218,1947,0.651801006,1.269056559,75,3.947368421,0.987491,79.66000366,19.77000046,70.22000122
370630020091,-78.88244962,35.9652651,1904,0.565735392,1.077160187,1110,44.32907348,0.776034,68.61000061,30.54999924,54.79999924
370630020092,-78.9008426,35.95783596,1119,0.660698534,0.739321659,465,41.33333333,0.863162,73.01000214,26.13999939,60.41999817
370630020093,-78.91815724,35.95581689,1662,0.719790559,1.196291909,686,44.4588464,0.874495,75.94000244,23.45000076,61.81999969
370630020131,-78.91640517,35.89778038,1553,0.956547019,1.485517521,103,6.940700809,0.920839,82.36000061,16.64999962,65.5
370630020132,-78.90531536,35.89496788,898,0.609902701,0.547692625,213,22.09543568,1.007632,87.04000092,11.77000046,70.29000092
370630020133,-78.90805909,35.88174562,2030,0.924111339,1.875946019,265,12.95210166,0.807398,79.41999817,18.18000031,59.95999908
370630020151,-78.93941779,35.9679464,2253,1.749667812,3.94200158,698,38.24657534,0.720227,64.48000336,33.63999939,51.56999969
370630020152,-78.95066325,35.96448014,2183,1.751455401,3.82342714,1215,53.52422907,0.569181,53.93999863,45.84000015,40.81999969
